language,term,CIEL_L,CIEL_a,CIEL_b
Arabic,?azra?,91.08,5.53,2.22
Arabic,?azra?,81.35,23.67,9.47
Arabic,?azra?,71.6,32.18,12.57
Arabic,?azra?,61.7,49.42,18.23
Arabic,?azra?,51.57,59.36,19.67
Arabic,?azra?,41.22,61.4,17.92
Arabic,?azra?,30.77,47.34,12.58
Arabic,?azra?,20.54,36.82,3.13
Arabic,?axdar,91.08,3.14,12.37
Arabic,?axdar,81.35,14.98,47.04
Arabic,?axdar,71.6,24.12,84.39
Arabic,?axdar,61.7,22.09,71.31
Arabic,?axdar,51.57,19.79,58.75
Arabic,?axdar,41.22,17.04,45.95
Arabic,?axdar,30.77,13.89,33.8
Arabic,?axdar,20.54,10.16,21.44
Arabic,?axdar,91.08,-16.65,44.66
Arabic,?axdar,81.35,-26.04,85.63
Arabic,?axdar,71.6,-24.87,85.15
Arabic,?axdar,61.7,-21.81,70.54
Arabic,?axdar,51.57,-18.37,55.88
Arabic,?axdar,41.22,-14.57,40.52
Arabic,?axdar,30.77,-10.05,24.97
Arabic,?axdar,20.54,-4.47,9.36
Arabic,rameidi,91.08,-12.29,10.56
Arabic,rameidi,81.35,-38.45,34.02
Arabic,rameidi,71.6,-46.7,41.31
Arabic,rameidi,61.7,-55.94,49.19
Arabic,rameidi,51.57,-56.86,49.22
Arabic,rameidi,41.22,-38.39,31.53
Arabic,rameidi,30.77,-27.26,20.69
Arabic,rameidi,20.54,-16.46,11.28
Arabic,?azra?,91.08,-13.22,3.82
Arabic,?azra?,81.35,-33.63,8.67
Arabic,?azra?,71.6,-41.85,9.77
Arabic,?azra?,61.7,-52.09,10.63
Arabic,?azra?,51.57,-52.69,9.7
Arabic,?azra?,41.22,-53.43,8.61
Arabic,?azra?,30.77,-49.93,6.94
Arabic,?azra?,20.54,-27.43,4.26
Arabic,?axdar,91.08,-12.96,2.42
Arabic,?axdar,81.35,-33.04,4.96
Arabic,?axdar,71.6,-41.54,5.41
Arabic,?axdar,61.7,-51.88,5.51
Arabic,?axdar,51.57,-51.99,4.46
Arabic,?axdar,41.22,-52.68,3.36
Arabic,?axdar,30.77,-39.18,2.14
Arabic,?axdar,20.54,-26.87,1.22
Arabic,?asfar,91.08,-11.94,-0.27
Arabic,?asfar,81.35,-21.19,-1.35
Arabic,?asfar,71.6,-39.21,-4.56
Arabic,?asfar,61.7,-39.17,-5.88
Arabic,?asfar,51.57,-38.59,-7.0
Arabic,?asfar,41.22,-39.09,-8.33
Arabic,?asfar,30.77,-27.32,-6.72
Arabic,?asfar,20.54,-16.13,-4.67
Arabic,burd?aani,91.08,-0.37,-5.58
Arabic,burd?aani,81.35,-0.24,-24.03
Arabic,burd?aani,71.6,0.85,-31.32
Arabic,burd?aani,61.7,2.64,-39.49
Arabic,burd?aani,51.57,5.02,-48.35
Arabic,burd?aani,41.22,7.17,-48.94
Arabic,burd?aani,30.77,7.86,-43.39
Arabic,burd?aani,20.54,7.63,-35.92
Arabic,?axdar,91.08,2.95,-4.85
Arabic,?axdar,81.35,8.19,-12.62
Arabic,?axdar,71.6,13.67,-19.66
Arabic,?axdar,61.7,20.07,-26.92
Arabic,?axdar,51.57,27.4,-33.72
Arabic,?axdar,41.22,29.49,-34.06
Arabic,?axdar,30.77,33.51,-35.69
Arabic,?axdar,20.54,26.82,-27.84
Arabic,?azra?,91.08,3.36,-4.24
Arabic,?azra?,81.35,9.68,-11.26
Arabic,?azra?,71.6,16.13,-17.52
Arabic,?azra?,61.7,23.29,-23.79
Arabic,?azra?,51.57,31.24,-29.94
Arabic,?azra?,41.22,33.08,-30.5
Arabic,?azra?,30.77,36.9,-32.14
Arabic,?azra?,20.54,29.26,-25.01
Arabic,zahir,91.08,4.31,-2.82
Arabic,zahir,81.35,18.74,-12.74
Arabic,zahir,71.6,26.62,-18.32
Arabic,zahir,61.7,34.47,-24.03
Arabic,zahir,51.57,35.21,-24.66
Arabic,zahir,41.22,36.48,-25.75
Arabic,zahir,30.77,39.78,-27.99
Arabic,zahir,20.54,22.74,-16.65
Arabic,?azra?,91.08,5.04,-1.14
Arabic,?azra?,81.35,22.62,-5.51
Arabic,?azra?,71.6,38.97,-10.98
Arabic,?azra?,61.7,38.67,-11.63
Arabic,?azra?,51.57,48.98,-15.95
Arabic,?azra?,41.22,49.84,-17.34
Arabic,?azra?,30.77,44.87,-16.65
Arabic,?azra?,20.54,34.44,-14.69
Arabic,?ahmar,91.08,5.27,-0.1
Arabic,?ahmar,81.35,23.53,-0.96
Arabic,?ahmar,71.6,40.04,-2.7
Arabic,?ahmar,61.7,40.07,-3.44
Arabic,?ahmar,51.57,51.2,-5.84
Arabic,?ahmar,41.22,51.84,-8.08
Arabic,?ahmar,30.77,46.25,-9.51
Arabic,?ahmar,20.54,35.44,-10.4
Arabic,?axdar,91.08,5.41,0.74
Arabic,?axdar,81.35,23.82,2.52
Arabic,?axdar,71.6,32.47,2.76
Arabic,?axdar,61.7,49.38,2.78
Arabic,?axdar,51.57,59.69,1.53
Arabic,?axdar,41.22,52.58,-0.05
Arabic,?axdar,30.77,46.93,-2.51
Arabic,?axdar,20.54,35.97,-6.33
Bulgarian,biru,91.08,5.53,2.22
Bulgarian,biru,81.35,23.67,9.47
Bulgarian,biru,71.6,32.18,12.57
Bulgarian,biru,61.7,49.42,18.23
Bulgarian,biru,51.57,59.36,19.67
Bulgarian,biru,41.22,61.4,17.92
Bulgarian,biru,30.77,47.34,12.58
Bulgarian,biru,20.54,36.82,3.13
Bulgarian,biru,91.08,5.51,3.28
Bulgarian,biru,81.35,23.18,13.11
Bulgarian,biru,71.6,31.7,17.23
Bulgarian,biru,61.7,48.53,25.92
Bulgarian,biru,51.57,58.01,30.52
Bulgarian,biru,41.22,59.5,30.17
Bulgarian,biru,30.77,46.08,20.6
Bulgarian,biru,20.54,36.64,9.24
Bulgarian,oranje,91.08,5.54,4.46
Bulgarian,oranje,81.35,22.67,17.48
Bulgarian,oranje,71.6,38.22,29.22
Bulgarian,oranje,61.7,46.38,35.47
Bulgarian,oranje,51.57,55.76,42.05
Bulgarian,oranje,41.22,56.6,40.99
Bulgarian,oranje,30.77,52.68,34.06
Bulgarian,oranje,20.54,35.15,15.44
Bulgarian,hitam,91.08,5.43,5.64
Bulgarian,hitam,81.35,21.06,22.4
Bulgarian,hitam,71.6,34.96,37.54
Bulgarian,hitam,61.7,49.15,56.82
Bulgarian,hitam,51.57,55.2,68.32
Bulgarian,hitam,41.22,51.06,58.81
Bulgarian,hitam,30.77,40.89,36.03
Bulgarian,hitam,20.54,25.15,16.6
Bulgarian,hidjau,91.08,5.21,7.67
Bulgarian,hidjau,81.35,18.52,26.72
Bulgarian,hidjau,71.6,30.67,44.56
Bulgarian,hidjau,61.7,44.69,79.79
Bulgarian,hidjau,51.57,40.53,69.04
Bulgarian,hidjau,41.22,32.37,46.62
Bulgarian,hidjau,30.77,28.16,36.05
Bulgarian,hidjau,20.54,15.99,14.49
Bulgarian,tjoklat,91.08,-0.46,29.79
Bulgarian,tjoklat,81.35,7.28,109.12
Bulgarian,tjoklat,71.6,6.22,81.95
Bulgarian,tjoklat,61.7,5.87,68.59
Bulgarian,tjoklat,51.57,5.33,54.9
Bulgarian,tjoklat,41.22,4.42,40.43
Bulgarian,tjoklat,30.77,3.1,25.71
Bulgarian,tjoklat,20.54,1.58,11.89
Bulgarian,hitam,91.08,-5.25,45.24
Bulgarian,hitam,81.35,-3.69,100.18
Bulgarian,hitam,71.6,-2.3,85.64
Bulgarian,hitam,61.7,-1.4,71.61
Bulgarian,hitam,51.57,-0.48,57.27
Bulgarian,hitam,41.22,-0.21,42.37
Bulgarian,hitam,30.77,-0.15,26.58
Bulgarian,hitam,20.54,-0.11,12.03
Bulgarian,hitam,91.08,-9.03,45.94
Bulgarian,hitam,81.35,-10.94,87.9
Bulgarian,hitam,71.6,-9.51,87.14
Bulgarian,hitam,61.7,-7.92,73.21
Bulgarian,hitam,51.57,-6.4,58.71
Bulgarian,hitam,41.22,-4.87,43.26
Bulgarian,hitam,30.77,-3.32,26.87
Bulgarian,hitam,20.54,-1.74,11.57
Bulgarian,hitam,91.08,-16.65,44.66
Bulgarian,hitam,81.35,-26.04,85.63
Bulgarian,hitam,71.6,-24.87,85.15
Bulgarian,hitam,61.7,-21.81,70.54
Bulgarian,hitam,51.57,-18.37,55.88
Bulgarian,hitam,41.22,-14.57,40.52
Bulgarian,hitam,30.77,-10.05,24.97
Bulgarian,hitam,20.54,-4.47,9.36
Bulgarian,hitam,91.08,-14.67,29.61
Bulgarian,hitam,81.35,-30.49,65.57
Bulgarian,hitam,71.6,-34.49,79.15
Bulgarian,hitam,61.7,-30.13,65.11
Bulgarian,hitam,51.57,-25.02,50.55
Bulgarian,hitam,41.22,-19.48,36.56
Bulgarian,hitam,30.77,-13.04,21.97
Bulgarian,hitam,20.54,-5.36,7.98
Bulgarian,ungu,91.08,-10.76,13.38
Bulgarian,ungu,81.35,-40.58,54.46
Bulgarian,ungu,71.6,-40.28,53.23
Bulgarian,ungu,61.7,-46.97,64.65
Bulgarian,ungu,51.57,-40.14,52.84
Bulgarian,ungu,41.22,-33.18,41.15
Bulgarian,ungu,30.77,-23.96,27.29
Bulgarian,ungu,20.54,-14.85,15.25
Bulgarian,kelabu,91.08,-12.29,10.56
Bulgarian,kelabu,81.35,-38.45,34.02
Bulgarian,kelabu,71.6,-46.7,41.31
Bulgarian,kelabu,61.7,-55.94,49.19
Bulgarian,kelabu,51.57,-56.86,49.22
Bulgarian,kelabu,41.22,-38.39,31.53
Bulgarian,kelabu,30.77,-27.26,20.69
Bulgarian,kelabu,20.54,-16.46,11.28
Bulgarian,oranje,91.08,-13.13,7.63
Bulgarian,oranje,81.35,-42.41,23.78
Bulgarian,oranje,71.6,-51.55,27.69
Bulgarian,oranje,61.7,-51.58,26.3
Bulgarian,oranje,51.57,-63.28,28.95
Bulgarian,oranje,41.22,-53.57,23.28
Bulgarian,oranje,30.77,-39.23,16.6
Bulgarian,oranje,20.54,-17.35,7.46
Bulgarian,hitam,91.08,-13.24,5.48
Bulgarian,hitam,81.35,-33.8,12.41
Bulgarian,hitam,71.6,-41.95,14.43
Bulgarian,hitam,61.7,-52.22,16.26
Bulgarian,hitam,51.57,-52.87,15.46
Bulgarian,hitam,41.22,-54.08,14.27
Bulgarian,hitam,30.77,-39.62,10.61
Bulgarian,hitam,20.54,-27.79,7.33
Bulgarian,biru,91.08,-13.22,3.82
Bulgarian,biru,81.35,-33.63,8.67
Bulgarian,biru,71.6,-41.85,9.77
Bulgarian,biru,61.7,-52.09,10.63
Bulgarian,biru,51.57,-52.69,9.7
Bulgarian,biru,41.22,-53.43,8.61
Bulgarian,biru,30.77,-49.93,6.94
Bulgarian,biru,20.54,-27.43,4.26
Bulgarian,kuning,91.08,-11.94,-0.27
Bulgarian,kuning,81.35,-21.19,-1.35
Bulgarian,kuning,71.6,-39.21,-4.56
Bulgarian,kuning,61.7,-39.17,-5.88
Bulgarian,kuning,51.57,-38.59,-7.0
Bulgarian,kuning,41.22,-39.09,-8.33
Bulgarian,kuning,30.77,-27.32,-6.72
Bulgarian,kuning,20.54,-16.13,-4.67
Bulgarian,ungu,91.08,-10.86,-2.13
Bulgarian,ungu,81.35,-19.64,-4.3
Bulgarian,ungu,71.6,-27.52,-7.11
Bulgarian,ungu,61.7,-36.77,-10.9
Bulgarian,ungu,51.57,-36.19,-11.99
Bulgarian,ungu,41.22,-36.33,-13.61
Bulgarian,ungu,30.77,-25.67,-10.89
Bulgarian,ungu,20.54,-15.07,-7.11
Bulgarian,hidjau,91.08,-7.96,-4.41
Bulgarian,hidjau,81.35,-16.44,-9.33
Bulgarian,hidjau,71.6,-22.32,-14.67
Bulgarian,hidjau,61.7,-29.22,-21.27
Bulgarian,hidjau,51.57,-27.95,-22.24
Bulgarian,hidjau,41.22,-20.46,-17.64
Bulgarian,hidjau,30.77,-19.73,-18.89
Bulgarian,hidjau,20.54,-11.72,-12.03
Bulgarian,biru,91.08,-6.32,-5.08
Bulgarian,biru,81.35,-13.22,-11.59
Bulgarian,biru,71.6,-18.37,-18.07
Bulgarian,biru,61.7,-22.98,-25.73
Bulgarian,biru,51.57,-21.72,-26.63
Bulgarian,biru,41.22,-21.08,-28.21
Bulgarian,biru,30.77,-15.41,-22.0
Bulgarian,biru,20.54,-9.52,-13.99
Bulgarian,hidjau,91.08,-1.49,-5.61
Bulgarian,hidjau,81.35,-5.05,-23.28
Bulgarian,hidjau,71.6,-5.09,-30.75
Bulgarian,hidjau,61.7,-4.52,-39.18
Bulgarian,hidjau,51.57,-3.41,-48.08
Bulgarian,hidjau,41.22,-2.09,-40.81
Bulgarian,hidjau,30.77,0.29,-43.03
Bulgarian,hidjau,20.54,0.11,-26.61
Bulgarian,tjoklat,91.08,-0.37,-5.58
Bulgarian,tjoklat,81.35,-0.24,-24.03
Bulgarian,tjoklat,71.6,0.85,-31.32
Bulgarian,tjoklat,61.7,2.64,-39.49
Bulgarian,tjoklat,51.57,5.02,-48.35
Bulgarian,tjoklat,41.22,7.17,-48.94
Bulgarian,tjoklat,30.77,7.86,-43.39
Bulgarian,tjoklat,20.54,7.63,-35.92
