CIEL_L,CIEL_a,CIEL_b,chip_id,mixed_term
91.08,5.53,2.22,0,xanh
81.35,23.67,9.47,1,xanh
71.6,32.18,12.57,2,xanh
61.7,49.42,18.23,3,xanh
51.57,59.36,19.67,4,xanh
41.22,61.4,17.92,5,xanh
30.77,47.34,12.58,6,xanh
20.54,36.82,3.13,7,xanh
91.08,3.14,12.37,8,xanh
81.35,14.98,47.04,9,xanh
71.6,24.12,84.39,10,xanh
61.7,22.09,71.31,11,xanh
51.57,19.79,58.75,12,xanh
41.22,17.04,45.95,13,xanh
30.77,13.89,33.8,14,xanh
20.54,10.16,21.44,15,xanh
91.08,-16.65,44.66,16,xanh
81.35,-26.04,85.63,17,xanh
71.6,-24.87,85.15,18,xanh
61.7,-21.81,70.54,19,xanh
51.57,-18.37,55.88,20,xanh
41.22,-14.57,40.52,21,xanh
30.77,-10.05,24.97,22,xanh
20.54,-4.47,9.36,23,xanh
91.08,-12.29,10.56,24,gris
81.35,-38.45,34.02,25,gris
71.6,-46.7,41.31,26,gris
61.7,-55.94,49.19,27,gris
51.57,-56.86,49.22,28,gris
41.22,-38.39,31.53,29,gris
30.77,-27.26,20.69,30,gris
20.54,-16.46,11.28,31,gris
91.08,-13.22,3.82,32,xanh
81.35,-33.63,8.67,33,xanh
71.6,-41.85,9.77,34,xanh
61.7,-52.09,10.63,35,xanh
51.57,-52.69,9.7,36,xanh
41.22,-53.43,8.61,37,xanh
30.77,-49.93,6.94,38,xanh
20.54,-27.43,4.26,39,xanh
91.08,-12.96,2.42,40,xanh
81.35,-33.04,4.96,41,xanh
71.6,-41.54,5.41,42,xanh
61.7,-51.88,5.51,43,xanh
51.57,-51.99,4.46,44,xanh
41.22,-52.68,3.36,45,xanh
30.77,-39.18,2.14,46,xanh
20.54,-26.87,1.22,47,xanh
91.08,-11.94,-0.27,48,xanh
81.35,-21.19,-1.35,49,xanh
71.6,-39.21,-4.56,50,xanh
61.7,-39.17,-5.88,51,xanh
51.57,-38.59,-7.0,52,xanh
41.22,-39.09,-8.33,53,xanh
30.77,-27.32,-6.72,54,xanh
20.54,-16.13,-4.67,55,xanh
91.08,-0.37,-5.58,56,xanh
81.35,-0.24,-24.03,57,xanh
71.6,0.85,-31.32,58,xanh
61.7,2.64,-39.49,59,xanh
51.57,5.02,-48.35,60,xanh
41.22,7.17,-48.94,61,xanh
30.77,7.86,-43.39,62,xanh
20.54,7.63,-35.92,63,xanh
91.08,2.95,-4.85,64,xanh
81.35,8.19,-12.62,65,xanh
71.6,13.67,-19.66,66,xanh
61.7,20.07,-26.92,67,xanh
51.57,27.4,-33.72,68,xanh
41.22,29.49,-34.06,69,xanh
30.77,33.51,-35.69,70,xanh
20.54,26.82,-27.84,71,xanh
91.08,3.36,-4.24,72,xanh
81.35,9.68,-11.26,73,xanh
71.6,16.13,-17.52,74,xanh
61.7,23.29,-23.79,75,xanh
51.57,31.24,-29.94,76,xanh
41.22,33.08,-30.5,77,xanh
30.77,36.9,-32.14,78,xanh
20.54,29.26,-25.01,79,xanh
91.08,4.31,-2.82,80,xanh
81.35,18.74,-12.74,81,xanh
71.6,26.62,-18.32,82,xanh
61.7,34.47,-24.03,83,xanh
51.57,35.21,-24.66,84,xanh
41.22,36.48,-25.75,85,xanh
30.77,39.78,-27.99,86,xanh
20.54,22.74,-16.65,87,xanh
91.08,5.04,-1.14,88,xanh
81.35,22.62,-5.51,89,xanh
71.6,38.97,-10.98,90,xanh
61.7,38.67,-11.63,91,xanh
51.57,48.98,-15.95,92,xanh
41.22,49.84,-17.34,93,xanh
30.77,44.87,-16.65,94,xanh
20.54,34.44,-14.69,95,xanh
91.08,5.27,-0.1,96,xanh
81.35,23.53,-0.96,97,xanh
71.6,40.04,-2.7,98,xanh
61.7,40.07,-3.44,99,xanh
51.57,51.2,-5.84,100,xanh
41.22,51.84,-8.08,101,xanh
30.77,46.25,-9.51,102,xanh
20.54,35.44,-10.4,103,xanh
91.08,5.41,0.74,104,xanh
81.35,23.82,2.52,105,xanh
71.6,32.47,2.76,106,xanh
61.7,49.38,2.78,107,xanh
51.57,59.69,1.53,108,xanh
41.22,52.58,-0.05,109,xanh
30.77,46.93,-2.51,110,xanh
20.54,35.97,-6.33,111,xanh
91.08,5.51,3.28,112,xanh
81.35,23.18,13.11,113,xanh
71.6,31.7,17.23,114,xanh
61.7,48.53,25.92,115,xanh
51.57,58.01,30.52,116,xanh
41.22,59.5,30.17,117,xanh
30.77,46.08,20.6,118,xanh
20.54,36.64,9.24,119,xanh
91.08,5.54,4.46,120,xanh
81.35,22.67,17.48,121,xanh
71.6,38.22,29.22,122,xanh
61.7,46.38,35.47,123,xanh
51.57,55.76,42.05,124,xanh
41.22,56.6,40.99,125,xanh
30.77,52.68,34.06,126,xanh
20.54,35.15,15.44,127,xanh
91.08,5.43,5.64,128,xanh
81.35,21.06,22.4,129,xanh
71.6,34.96,37.54,130,xanh
61.7,49.15,56.82,131,xanh
51.57,55.2,68.32,132,xanh
41.22,51.06,58.81,133,xanh
30.77,40.89,36.03,134,xanh
20.54,25.15,16.6,135,xanh
91.08,5.21,7.67,136,xanh
81.35,18.52,26.72,137,xanh
71.6,30.67,44.56,138,xanh
61.7,44.69,79.79,139,xanh
51.57,40.53,69.04,140,xanh
41.22,32.37,46.62,141,xanh
30.77,28.16,36.05,142,xanh
20.54,15.99,14.49,143,xanh
91.08,-0.46,29.79,144,xanh
81.35,7.28,109.12,145,xanh
71.6,6.22,81.95,146,xanh
61.7,5.87,68.59,147,xanh
51.57,5.33,54.9,148,xanh
41.22,4.42,40.43,149,xanh
30.77,3.1,25.71,150,xanh
20.54,1.58,11.89,151,xanh
91.08,-5.25,45.24,152,xanh
81.35,-3.69,100.18,153,xanh
71.6,-2.3,85.64,154,xanh
61.7,-1.4,71.61,155,xanh
51.57,-0.48,57.27,156,xanh
41.22,-0.21,42.37,157,xanh
30.77,-0.15,26.58,158,xanh
20.54,-0.11,12.03,159,xanh
91.08,-9.03,45.94,160,xanh
81.35,-10.94,87.9,161,xanh
71.6,-9.51,87.14,162,xanh
61.7,-7.92,73.21,163,xanh
51.57,-6.4,58.71,164,xanh
41.22,-4.87,43.26,165,xanh
30.77,-3.32,26.87,166,xanh
20.54,-1.74,11.57,167,xanh
91.08,-14.67,29.61,168,xanh
81.35,-30.49,65.57,169,xanh
71.6,-34.49,79.15,170,xanh
61.7,-30.13,65.11,171,xanh
51.57,-25.02,50.55,172,xanh
41.22,-19.48,36.56,173,xanh
30.77,-13.04,21.97,174,xanh
20.54,-5.36,7.98,175,xanh
91.08,-10.76,13.38,176,xanh
81.35,-40.58,54.46,177,xanh
71.6,-40.28,53.23,178,xanh
61.7,-46.97,64.65,179,xanh
51.57,-40.14,52.84,180,xanh
41.22,-33.18,41.15,181,xanh
30.77,-23.96,27.29,182,xanh
20.54,-14.85,15.25,183,xanh
91.08,-13.13,7.63,184,xanh
81.35,-42.41,23.78,185,xanh
71.6,-51.55,27.69,186,xanh
61.7,-51.58,26.3,187,xanh
51.57,-63.28,28.95,188,xanh
41.22,-53.57,23.28,189,xanh
30.77,-39.23,16.6,190,xanh
20.54,-17.35,7.46,191,xanh
91.08,-13.24,5.48,192,xanh
81.35,-33.8,12.41,193,xanh
71.6,-41.95,14.43,194,xanh
61.7,-52.22,16.26,195,xanh
51.57,-52.87,15.46,196,xanh
41.22,-54.08,14.27,197,xanh
30.77,-39.62,10.61,198,xanh
20.54,-27.79,7.33,199,xanh
91.08,-10.86,-2.13,200,xanh
81.35,-19.64,-4.3,201,xanh
71.6,-27.52,-7.11,202,xanh
61.7,-36.77,-10.9,203,xanh
51.57,-36.19,-11.99,204,xanh
41.22,-36.33,-13.61,205,xanh
30.77,-25.67,-10.89,206,xanh
20.54,-15.07,-7.11,207,xanh
91.08,-7.96,-4.41,208,xanh
81.35,-16.44,-9.33,209,xanh
71.6,-22.32,-14.67,210,xanh
61.7,-29.22,-21.27,211,xanh
51.57,-27.95,-22.24,212,xanh
41.22,-20.46,-17.64,213,xanh
30.77,-19.73,-18.89,214,xanh
20.54,-11.72,-12.03,215,xanh
